session_id,target
1,0.0003237388246487259
2,2.771429388404433e-06
3,8.905737469334848e-07
4,6.025708961077843e-07
5,0.00019445009586103592
6,6.911012010937406e-05
7,0.0028995024701784907
8,0.001819377345450159
9,0.00013066532392464107
10,0.003125679817564148
11,0.00012156374787083294
12,1.607415884917171e-05
13,7.795315367514819e-05
14,0.0221619066345126
15,0.0008923692648021496
16,0.0003664765100633471
17,0.020805566815200197
18,1.4218821765034145e-05
19,0.002450878575402716
20,1.9837522390586194e-06
21,0.0347176082350135
22,3.218856521888385e-05
23,0.0002626761336310462
24,0.011728085315691203
25,0.07968684600964439
26,9.762446891471263e-06
27,0.00013760708260680083
28,8.043843545756979e-07
29,0.02054547619447445
30,0.0015170491062741537
31,0.027857301338261614
32,0.017187483074563394
33,0.00012650984407979555
34,1.5926752666069037e-05
35,0.019012965424675787
36,0.000626556412550347
37,7.739820075892862e-08
38,2.7868455129780724e-06
39,0.0004118573840809525
40,1.0955874640157813e-05
41,0.0017412262271447486
42,0.006543239519241059
43,9.694874691483316e-05
44,0.00011061724357011089
45,0.14109789546695153
46,0.00022936065873456832
47,0.00034941250080155095
48,6.45360299983461e-05
49,0.00024854571178765635
50,7.812464149300304e-06
51,2.3067797261915139e-07
52,0.0001093229983248998
53,0.022818910727515556
54,0.0007568222520631942
55,0.0003896870008665851
56,0.019866431464337867
57,1.5342900297459002e-06
58,1.7798055429377805e-05
59,2.0781035257814605e-05
60,2.581764338728894e-06
61,8.30770919731778e-06
62,0.00023911161613116868
63,1.4261313723410055e-05
64,0.0005744519371989426
65,1.0895850264681145e-05
66,5.922617414433982e-06
67,0.00015769880217042552
68,0.0016686067764070732
69,0.05686208396073151
70,4.679114663032379e-05
71,0.0016116117664065532
72,0.0005301939310878092
73,0.17315526134183765
74,7.139454601744435e-05
75,0.000213320750836476
76,0.0023247539615354426
77,0.0018184990055001612
78,0.0048536609611833734
79,0.00013925858719581526
80,8.701153994832889e-06
81,1.2335386807345787e-05
82,0.0015145234477828861
83,1.1821079615248918e-06
84,0.4810713362327766
85,0.00015100691713780445
86,5.953493968300271e-06
87,0.0060631977612404546
88,0.001245756565999565
89,0.0021113698470961472
90,0.05220470320458129
91,3.454992111252731e-05
92,5.219951475336997e-06
93,0.046065367222164894
94,0.00017399854328745625
95,0.09256340005955578
96,3.0550981636909358e-06
97,0.0013206927210031277
98,2.4187766473774424e-05
99,1.9231230561483455e-05
100,0.00018580198802699174
101,5.423227192006036e-05
102,0.1250450978985305
103,0.00019788094042824908
